timestamp, memory.used [MiB]
2025/12/20 14:50:42.034, [N/A]
2025/12/20 14:50:47.035, [N/A]
2025/12/20 14:50:52.035, [N/A]
2025/12/20 14:50:57.036, [N/A]
2025/12/20 14:51:02.036, [N/A]
2025/12/20 14:51:07.037, [N/A]
2025/12/20 14:51:12.037, [N/A]
2025/12/20 14:51:17.038, [N/A]
2025/12/20 14:51:22.039, [N/A]
2025/12/20 14:51:27.040, [N/A]
2025/12/20 14:51:32.042, [N/A]
2025/12/20 14:51:37.043, [N/A]
2025/12/20 14:51:42.044, [N/A]
2025/12/20 14:51:47.044, [N/A]
2025/12/20 14:51:52.060, [N/A]
2025/12/20 14:51:57.061, [N/A]
2025/12/20 14:52:02.062, [N/A]
2025/12/20 14:52:07.063, [N/A]
2025/12/20 14:52:12.064, [N/A]
2025/12/20 14:52:17.064, [N/A]
2025/12/20 14:52:22.065, [N/A]
2025/12/20 14:52:27.067, [N/A]
2025/12/20 14:52:32.068, [N/A]
2025/12/20 14:52:37.069, [N/A]
2025/12/20 14:52:42.071, [N/A]
2025/12/20 14:52:47.073, [N/A]
2025/12/20 14:52:52.074, [N/A]
2025/12/20 14:52:57.075, [N/A]
2025/12/20 14:53:02.075, [N/A]
2025/12/20 14:53:07.076, [N/A]
2025/12/20 14:53:12.077, [N/A]
2025/12/20 14:53:17.079, [N/A]
2025/12/20 14:53:22.080, [N/A]
2025/12/20 14:53:27.080, [N/A]
2025/12/20 14:53:32.081, [N/A]
2025/12/20 14:53:37.082, [N/A]
2025/12/20 14:53:42.084, [N/A]
